"eviction_id","address","city","state","zip","file_date","non_payment","breach","nuisance","illegal_use","failure_to_sign_renewal","access_denial","unapproved_subtenant","owner_move_in","demolition","capital_improvement","substantial_rehab","ellis_act_withdrawal","condo_conversion","roommate_same_unit","other_cause","late_payments","lead_remediation","development","good_samaritan_ends","constraints_date","supervisor_district","neighborhood","client_location","shape",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_fyvs_ahh9",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_yftq_j783",":@computed_region_bh8s_q3mv",":@computed_region_9jxd_iqea",":@computed_region_6ezc_tdp2",":@computed_region_6pnf_4xz7",":@computed_region_h4ep_8xdi",":@computed_region_pigm_ib2e",":@computed_region_jwn9_ihcz"
"M182942","0 Block Of Russian Hill  Place","San Francisco","CA","94123","2018-10-22T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.41513 37.798027)",,,,,,,,,,,,,,,"107"
"M182784","700 Block Of Kearny  Street","San Francisco","CA","94111","2018-10-09T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Chinatown",,"POINT (-122.40485 37.794662)",,,,,,,,,,,,,,,"104"
"M182671","4300 Block Of 17th  Street","San Francisco","CA","94144","2018-09-24T00:00:00.000","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"8","Castro/Upper Market",,"POINT (-122.44155 37.76211)",,,,,,,,,,,,,,,"113"
"M182551","700 Block Of Kearny  Street","San Francisco","CA","94111","2018-09-11T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Chinatown",,"POINT (-122.40485 37.794662)",,,,,,,,,,,,,,,"104"
"M182469","700 Block Of Kearny  Street","San Francisco","CA","94111","2018-08-24T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Chinatown",,"POINT (-122.40485 37.794662)",,,,,,,,,,,,,,,"104"
"M181908","0 Block Of Lafayett  Street","San Francisco","CA","94103","2018-06-25T00:00:00.000","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M181704","300 Block Of Leavenworth  Street","San Francisco","CA","94109","2018-06-11T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41435 37.784195)",,,,,,,,,,,,,,,"20"
"M181688","100 Block Of Landers  Street","San Francisco","CA","94124","2018-06-06T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"8","Castro/Upper Market",,"POINT (-122.427666 37.76511)",,,,,,,,,,,,,,,"37"
"M181081","300 Block Of Haight  Street","399 Haight Street","CA","94117","2018-04-05T00:00:00.000","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Hayes Valley",,"POINT (-122.42799 37.772427)",,,,,,,,,,,,,,,"26"
"M180884","200 Block Of Powell  Street","San Francisco","CA","94102","2018-03-23T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Tenderloin",,"POINT (-122.40814 37.78689)",,,,,,,,,,,,,,,"19"
"M173100","1000 Block Of Franklin  Street","San Francisco","CA","94102","2017-12-18T00:00:00.000","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Western Addition",,"POINT (-122.422806 37.78432)",,,,,,,,,,,,,,,"100"
"M172880","0 Block Of Polk  Street","San Francisco","CA","94107","2017-11-22T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Tenderloin",,"POINT (-122.41794 37.77696)",,,,,,,,,,,,,,,"21"
"M172339","0 Block Of Harvard  Street","San Francisco","CA","94112","2017-09-18T00:00:00.000","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","2022-10-24T00:00:00.000","11","Excelsior",,"POINT (-122.42149 37.728592)",,,,,,,,,,,,,,,"92"
"M171085","0 Block Of Winfield  Street","San Francisco","CA","94112","2017-05-12T00:00:00.000","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","2022-07-02T00:00:00.000","9","Bernal Heights",,"POINT (-122.41732 37.74449)",,,,,,,,,,,,,,,"83"
"M170567","0 Block Of Palm  Avenue","San Francisco","CA","94116","2017-03-13T00:00:00.000","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Presidio Heights",,"POINT (-122.45801 37.784855)",,,,,,,,,,,,,,,"11"
"M170202","300 Block Of Benito  Way","San Francisco","CA","94127","2017-02-06T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M162122","1600 Block Of Larkin  Street","San Francisco","CA","94104","2016-07-29T00:00:00.000","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"3","Russian Hill",,"POINT (-122.4195 37.793034)",,,,,,,,,,,,,,,"105"
"M153093","1200 Block Of Sunnyside  Avenue","San Francisco","CA","94134","2015-11-09T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M152288","0 Block Of Church  Street","San Francisco","CA","94114","2015-08-31T00:00:00.000","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Hayes Valley",,"POINT (-122.42919 37.76991)",,,,,,,,,,,,,,,"28"
"M152234","500 Block Of 26th  Avenue","San Francisco","CA","94112","2015-08-26T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"1","Outer Richmond",,"POINT (-122.48575 37.779083)",,,,,,,,,,,,,,,"8"
"M151337","2000 Block Of Bancroft  Avenue","San Francisco","CA","94122","2015-05-28T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"10","Bayview Hunters Point",,"POINT (-122.40122 37.730373)",,,,,,,,,,,,,,,"87"
"M150438","1300 Block Of California  Street","San Francisco","CA","94118","2015-03-05T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.416756 37.79107)",,,,,,,,,,,,,,,"16"
"M141994","400 Block Of Eddy  Street","San Francisco","CA","94102","2014-09-05T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41508 37.783627)",,,,,,,,,,,,,,,"20"
"M141544","5100 Block Of 03rd  Street","San Francisco","CA","94118","2014-07-16T00:00:00.000","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,"10","Bayview Hunters Point",,"POINT (-122.39174 37.732056)",,,,,,,,,,,,,,,"87"
"M141208","4800 Block Of Mission  Street","San Francisco","CA","94110","2014-06-05T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"11","Excelsior",,"POINT (-122.43788 37.72058)",,,,,,,,,,,,,,,"90"
"M140184","1900 Block Of Jones  Street","San Francisco","CA","94133","2014-01-31T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Russian Hill",,"POINT (-122.415726 37.79939)",,,,,,,,,,,,,,,"107"
"M132407","300 Block Of Phelan  Avenue","San Francisco","CA","94112","2013-12-05T00:00:00.000","true","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M131920","1300 Block Of Post  Street","San Francisco","CA","94110","2013-09-30T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Western Addition",,"POINT (-122.42405 37.786304)",,,,,,,,,,,,,,,"100"
"M130183","600 Block Of Bush  Street","San Francisco","CA","94109","2013-02-01T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.407326 37.79035)",,,,,,,,,,,,,,,"16"
"M130001","1000 Block Of Pine  Street","San Francisco","CA","94109","2013-01-02T00:00:00.000","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","2015-12-21T00:00:00.000","3","Nob Hill",,"POINT (-122.4131 37.790573)",,,,,,,,,,,,,,,"16"
"M122225","400 Block Of Eddy  Street","San Francisco","CA","94102","2012-11-29T00:00:00.000","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41508 37.783627)",,,,,,,,,,,,,,,"20"
"M122035","400 Block Of Eddy  Street","San Francisco","CA","94102","2012-10-29T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41508 37.783627)",,,,,,,,,,,,,,,"20"
"M120596","1200 Block Of Laguna  Street","San Francisco","CA","94127","2012-09-26T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Western Addition",,"POINT (-122.42746 37.782295)",,,,,,,,,,,,,,,"97"
"M121217","2300 Block Of 28th  Avenue","San Francisco","CA","94122","2012-08-08T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false",,"4","Sunset/Parkside",,"POINT (-122.48541 37.743565)",,,,,,,,,,,,,,,"40"
"M121198","200 Block Of Murray  Street","San Francisco","CA","94134","2012-08-03T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Bernal Heights",,"POINT (-122.423035 37.733677)",,,,,,,,,,,,,,,"93"
"M120518","700 Block Of Polk  Street","San Francisco","CA","94110","2012-04-10T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41924 37.78334)",,,,,,,,,,,,,,,"20"
"M120203","100 Block Of 22nd  Avenue","San Francisco","CA","94117","2012-02-13T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"1","Outer Richmond",,"POINT (-122.48187 37.78496)",,,,,,,,,,,,,,,"2"
"M111978","0 Block Of 28th  Street","San Francisco","CA","94105","2011-12-02T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Noe Valley",,"POINT (-122.42339 37.745514)",,,,,,,,,,,,,,,"84"
"M111930","1000 Block Of Pine  Street","San Francisco","CA","94109","2011-11-21T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.4131 37.790573)",,,,,,,,,,,,,,,"16"
"M111829","3300 Block Of 21st  Street","San Francisco","CA","94121","2011-11-07T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Mission",,"POINT (-122.42223 37.75684)",,,,,,,,,,,,,,,"52"
"M111788","500 Block Of Dolores  Street","San Francisco","CA","94114","2011-11-02T00:00:00.000","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Castro/Upper Market",,"POINT (-122.42593 37.76064)",,,,,,,,,,,,,,,"37"
"M111103","2500 Block Of Washington  Street","San Francisco","CA","94111","2011-07-06T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Pacific Heights",,"POINT (-122.43522 37.791492)",,,,,,,,,,,,,,,"102"
"M111070","600 Block Of Clay  Road","San Francisco","CA","94108","2011-06-27T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Chinatown",,"POINT (-122.403984 37.794563)",,,,,,,,,,,,,,,"104"
"M110726","1400 Block Of Irving  Street","San Francisco","CA","94112","2011-05-06T00:00:00.000","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"7","Inner Sunset",,"POINT (-122.473366 37.763733)",,,,,,,,,,,,,,,"109"
"M101446","400 Block Of Eddy  Street","San Francisco","CA","94102","2010-10-12T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41508 37.783627)",,,,,,,,,,,,,,,"20"
"M101421","100 Block Of 16th  Street","San Francisco","CA","94107","2010-10-06T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"1","Outer Richmond",,"POINT (-122.47545 37.785255)",,,,,,,,,,,,,,,"2"
"M101152","0 Block Of Vandewater  Street","San Francisco","CA","94134","2010-08-27T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","North Beach",,"POINT (-122.412704 37.805264)",,,,,,,,,,,,,,,"106"
"M101071","600 Block Of 16th  Street","San Francisco","CA","94107","2010-08-06T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Mission Bay",,"POINT (-122.39175 37.76675)",,,,,,,,,,,,,,,"34"
"M100043","500 Block Of Beale  Street","San Francisco","CA","94105","2010-01-11T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Financial District/South Beach",,"POINT (-122.38909 37.78578)",,,,,,,,,,,,,,,"31"
"M090309","200 Block Of Berry  Street","San Francisco","CA","94107","2009-03-12T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Mission Bay",,"POINT (-122.39448 37.774914)",,,,,,,,,,,,,,,"34"
"M090029","500 Block Of Oak Park  Drive","San Francisco","CA","94121","2009-01-08T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"7","Inner Sunset",,"POINT (-122.46053 37.75694)",,,,,,,,,,,,,,,"111"
"M081691","900 Block Of Bush  Street","San Francisco","CA","94109","2008-10-23T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.41292 37.78964)",,,,,,,,,,,,,,,"50"
"M081022","3600 Block Of Mission  Street","San Francisco","CA","94112","2008-06-18T00:00:00.000","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Bernal Heights",,"POINT (-122.42401 37.73813)",,,,,,,,,,,,,,,"61"
"M071765","0 Block Of Watt  Avenue","San Francisco","CA","94122","2007-10-26T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"11","Excelsior",,"POINT (-122.441185 37.70942)",,,,,,,,,,,,,,,"58"
"M071072","300 Block Of Golden Gate  Avneue","San Francisco","CA","94109","2007-07-06T00:00:00.000","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M070741","500 Block Of Hyde  Street","San Francisco","CA","94102","2007-05-17T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.416405 37.786022)",,,,,,,,,,,,,,,"20"
"M062183","700 Block Of Bush  Street","San Francisco","CA","94108","2006-10-24T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.40962 37.790062)",,,,,,,,,,,,,,,"16"
"M062028","1500 Block Of Green  Street","San Francisco","CA","94133","2006-09-22T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Marina",,"POINT (-122.42463 37.797516)",,,,,,,,,,,,,,,"15"
"M051175","200 Block Of Eddy  Street","San Francisco","CA","94109","2005-06-20T00:00:00.000","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41179 37.784042)",,,,,,,,,,,,,,,"20"
"M041767","100 Block Of Corwin  Street","San Francisco","CA","94121","2004-09-21T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false",,"8","Twin Peaks",,"POINT (-122.44068 37.757698)",,,,,,,,,,,,,,,"115"
"M040941","1100 Block Of Reeves  Court","San Francisco","CA","94130","2004-05-26T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Treasure Island",,"POINT (-122.376236 37.828865)",,,,,,,,,,,,,,,"36"
"M031208","5100 Block Of Walter  Street","San Francisco","CA","94114","2003-04-08T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M030545","1300 Block Of Post  Street","San Francisco","CA","94104","2003-01-21T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"2","Western Addition",,"POINT (-122.42405 37.786304)",,,,,,,,,,,,,,,"100"
"M020306","2800 Block Of 23rd  Street","San Francisco","CA","94107","2002-03-11T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Mission",,"POINT (-122.40975 37.754375)",,,,,,,,,,,,,,,"53"
"M020285","2000 Block Of 21st  Street","San Francisco","CA","94110","2002-03-07T00:00:00.000","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"4","Sunset/Parkside",,"POINT (-122.4783 37.74949)",,,,,,,,,,,,,,,"39"
"M012102","0 Block Of Laguna  Street","San Francisco","CA","94110","2001-12-06T00:00:00.000","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Hayes Valley",,"POINT (-122.42524 37.771336)",,,,,,,,,,,,,,,"27"
"M011744","0 Block Of Ottowa  Street","San Francisco","CA","94112","2001-10-01T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,"11","Outer Mission",,"POINT (-122.44464 37.714336)",,,,,,,,,,,,,,,"66"
"M011611","0 Block Of Banks  Street","San Francisco","CA","94117","2001-09-07T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,"9","Bernal Heights",,"POINT (-122.41257 37.741932)",,,,,,,,,,,,,,,"83"
"M011415","1000 Block Of Pine  Street","San Francisco","CA","94109","2001-08-02T00:00:00.000","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.4131 37.790573)",,,,,,,,,,,,,,,"16"
"M011314","0 Block Of Stfrancis  Place","San Francisco","CA","94107","2001-07-16T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Financial District/South Beach",,"POINT (-122.39779 37.783134)",,,,,,,,,,,,,,,"32"
"M011091","1300 Block Of 05th  Avenue","San Francisco","CA","94121","2001-06-08T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"7","Inner Sunset",,"POINT (-122.461975 37.763298)",,,,,,,,,,,,,,,"109"
"M010233","2800 Block Of Octavia  Street","San Francisco","CA","94132","2001-02-06T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,"2","Marina",,"POINT (-122.42902 37.798397)",,,,,,,,,,,,,,,"15"
"M2K2290","200 Block Of San Jose  Avenue","San Francisco","CA","94103","2000-11-13T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false",,"8","Mission",,"POINT (-122.42153 37.751255)",,,,,,,,,,,,,,,"53"
"M2K2032","800 Block Of Fulton  Street","San Francisco","CA","94107","2000-10-06T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Western Addition",,"POINT (-122.43116 37.77776)",,,,,,,,,,,,,,,"97"
"M2K1826","100 Block Of Jones  Street","San Francisco","CA","94109","2000-09-11T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"5","Tenderloin",,"POINT (-122.41233 37.782543)",,,,,,,,,,,,,,,"20"
"M2K1559","1400 Block Of 08th  Avenue","San Francisco","CA","94112","2000-08-09T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"7","Inner Sunset",,"POINT (-122.46506 37.761295)",,,,,,,,,,,,,,,"109"
"M2K1428","300 Block Of 14th  Street","San Francisco","CA","94109","2000-07-19T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Mission",,"POINT (-122.4218 37.76817)",,,,,,,,,,,,,,,"53"
"M2K1398","700 Block Of Buena Vista West","San Francisco","CA","94117","2000-07-17T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Haight Ashbury",,"POINT (-122.44363 37.768246)",,,,,,,,,,,,,,,"112"
"M2K1125","300 Block Of Parnsassus","San Francisco","CA","94117","2000-06-12T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"8","Inner Sunset",,"POINT (-122.45502 37.76422)",,,,,,,,,,,,,,,"110"
"M2K0446","1200 Block Of 17th  Street","San Francisco","CA","94127","2000-03-20T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"10","Mission Bay",,"POINT (-122.3963 37.765163)",,,,,,,,,,,,,,,"54"
"E992443","800 Block Of Ingerson  Avenue","San Francisco","CA","941","1999-12-03T00:00:00.000","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"10","Bayview Hunters Point",,"POINT (-122.390686 37.717773)",,,,,,,,,,,,,,,"88"
"E992298","2000 Block Of 23rd  Street","San Francisco","CA","941","1999-11-09T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"10","Potrero Hill",,"POINT (-122.40019 37.75466)",,,,,,,,,,,,,,,"54"
"E992034","600 Block Of Diamond  Street","San Francisco","CA","94110","1999-10-12T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false",,"8","Noe Valley",,"POINT (-122.43643 37.752365)",,,,,,,,,,,,,,,"84"
"E991823","800 Block Of Masonic  Avenue","San Francisco","CA","94108","1999-09-17T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Lone Mountain/USF",,"POINT (-122.44601 37.77347)",,,,,,,,,,,,,,,"24"
